Step,Energy,Magnetisation
0,-7468,300
1,-10916,308
2,-12560,242
3,-13728,326
4,-14468,332
5,-15044,314
6,-15320,332
7,-15668,284
8,-15892,228
9,-16056,282
10,-16356,306
11,-16556,368
12,-16692,388
13,-16844,406
14,-16916,380
15,-17052,270
16,-17124,242
17,-17208,256
18,-17304,216
19,-17424,234
20,-17524,210
21,-17544,268
22,-17616,284
23,-17712,312
24,-17744,230
25,-17796,220
26,-17868,208
27,-17912,144
28,-17960,120
29,-17952,110
30,-17992,90
31,-18016,62
32,-18080,42
33,-18132,60
34,-18140,140
35,-18176,162
36,-18224,156
37,-18296,234
38,-18304,218
39,-18352,316
40,-18380,312
41,-18368,328
42,-18408,400
43,-18404,380
44,-18416,300
45,-18460,352
46,-18496,334
47,-18540,350
48,-18556,316
49,-18572,346
50,-18596,354
51,-18600,358
52,-18624,352
53,-18644,336
54,-18656,328
55,-18628,316
56,-18612,306
57,-18652,350
58,-18644,346
59,-18636,378
60,-18660,368
61,-18692,336
62,-18684,320
63,-18700,272
64,-18728,282
65,-18736,256
66,-18740,292
67,-18744,332
68,-18744,306
69,-18744,358
70,-18692,374
71,-18688,346
72,-18732,292
73,-18744,288
74,-18724,306
75,-18760,284
76,-18768,248
77,-18744,254
78,-18748,224
79,-18760,252
80,-18784,256
81,-18800,230
82,-18788,208
83,-18792,188
84,-18800,182
85,-18796,184
86,-18808,130
87,-18764,92
88,-18768,76
89,-18792,62
90,-18780,88
91,-18764,108
92,-18812,120
93,-18812,102
94,-18812,86
95,-18804,106
96,-18828,118
97,-18812,98
98,-18848,60
99,-18820,44
100,-18836,48
101,-18836,40
102,-18836,74
103,-18856,124
104,-18856,134
105,-18852,112
106,-18884,92
107,-18888,84
108,-18880,60
109,-18880,62
110,-18900,52
111,-18900,24
112,-18876,38
113,-18872,58
114,-18912,36
115,-18892,68
116,-18888,48
117,-18908,58
118,-18896,-22
119,-18940,34
120,-18944,42
121,-18944,68
122,-18952,52
123,-18940,12
124,-18968,10
125,-18952,24
126,-18952,-8
127,-18960,-6
128,-18956,4
129,-18972,20
130,-18956,18
131,-18948,26
132,-18936,18
133,-18980,14
134,-18980,0
135,-19028,-16
136,-19036,-30
137,-19020,-38
138,-19020,-58
139,-18992,-42
140,-19012,-16
141,-19008,-10
142,-19012,-22
143,-19016,-16
144,-19020,-58
145,-19004,-24
146,-19040,-34
147,-19064,-50
148,-19044,-34
149,-19028,-48
150,-19024,-22
151,-19016,-62
152,-19032,-54
153,-19040,-42
154,-19072,4
155,-19080,-40
156,-19072,-54
157,-19060,-62
158,-19080,-64
159,-19060,-44
160,-19052,-24
161,-19068,0
162,-19080,-8
163,-19052,2
164,-19048,-14
165,-19076,10
166,-19092,10
167,-19056,-22
168,-19064,-48
169,-19060,-16
170,-19052,8
171,-19072,2
172,-19068,6
173,-19084,20
174,-19100,6
175,-19084,14
176,-19100,38
177,-19084,0
178,-19104,24
179,-19100,0
180,-19088,2
181,-19096,-70
182,-19080,-40
183,-19088,-40
184,-19088,-46
185,-19072,-46
186,-19104,-62
187,-19092,-70
188,-19092,-74
189,-19120,-66
190,-19132,-52
191,-19144,-68
192,-19120,-72
193,-19116,-120
194,-19104,-100
195,-19080,-112
196,-19104,-110
197,-19100,-112
198,-19100,-112
199,-19120,-132
200,-19128,-136
201,-19124,-132
202,-19108,-144
203,-19124,-196
204,-19120,-218
205,-19140,-204
206,-19108,-212
207,-19096,-202
208,-19080,-204
209,-19120,-218
210,-19140,-240
211,-19108,-264
212,-19128,-282
213,-19144,-256
214,-19100,-264
215,-19112,-288
216,-19112,-272
217,-19092,-314
218,-19124,-332
219,-19120,-332
220,-19152,-294
221,-19108,-288
222,-19072,-320
223,-19100,-390
224,-19120,-366
225,-19120,-374
226,-19156,-350
227,-19120,-394
228,-19144,-380
229,-19136,-406
230,-19136,-408
231,-19152,-412
232,-19140,-438
233,-19124,-476
234,-19148,-546
235,-19148,-578
236,-19128,-630
237,-19160,-650
238,-19188,-654
239,-19208,-608
240,-19160,-608
241,-19168,-622
242,-19160,-630
243,-19168,-620
244,-19160,-624
245,-19188,-650
246,-19164,-636
247,-19188,-646
248,-19184,-640
249,-19212,-666
250,-19184,-692
251,-19156,-656
252,-19196,-694
253,-19156,-708
254,-19196,-642
255,-19184,-662
256,-19172,-706
257,-19164,-762
258,-19164,-766
259,-19180,-814
260,-19184,-848
261,-19192,-828
262,-19212,-870
263,-19188,-870
264,-19184,-876
265,-19164,-910
266,-19168,-934
267,-19156,-928
268,-19148,-928
269,-19176,-946
270,-19204,-930
271,-19216,-914
272,-19216,-940
273,-19192,-952
274,-19192,-962
275,-19204,-1004
276,-19208,-992
277,-19216,-1008
278,-19200,-1064
279,-19184,-1000
280,-19176,-1030
281,-19200,-1038
282,-19224,-1046
283,-19208,-1078
284,-19204,-1038
285,-19200,-1030
286,-19212,-1020
287,-19220,-1020
288,-19208,-1024
289,-19152,-1024
290,-19224,-1030
291,-19220,-1044
292,-19228,-1034
293,-19204,-1058
294,-19204,-1040
295,-19180,-1100
296,-19200,-1108
297,-19216,-1120
298,-19208,-1104
299,-19232,-1138
300,-19228,-1162
301,-19264,-1192
302,-19260,-1246
303,-19232,-1228
304,-19252,-1240
305,-19248,-1234
306,-19260,-1248
307,-19220,-1310
308,-19212,-1268
309,-19220,-1282
310,-19216,-1308
311,-19240,-1322
312,-19260,-1338
313,-19256,-1388
314,-19236,-1426
315,-19220,-1434
316,-19248,-1440
317,-19256,-1472
318,-19272,-1498
319,-19244,-1494
320,-19228,-1468
321,-19220,-1508
322,-19220,-1446
323,-19240,-1478
324,-19232,-1494
325,-19240,-1450
326,-19252,-1472
327,-19236,-1512
328,-19244,-1494
329,-19240,-1552
330,-19216,-1540
