Step,Energy,Magnetisation
0,-7824,236
1,-10880,284
2,-12668,324
3,-13788,550
4,-14524,772
5,-15068,1038
6,-15468,1086
7,-15792,1224
8,-16040,1400
9,-16296,1510
10,-16472,1566
11,-16672,1740
12,-16836,1890
13,-16940,1890
14,-17032,1964
15,-17116,1974
16,-17192,2040
17,-17292,2134
18,-17392,2196
19,-17504,2290
20,-17564,2276
21,-17612,2314
22,-17672,2414
23,-17712,2428
24,-17736,2464
25,-17808,2582
26,-17872,2666
27,-17928,2766
28,-17964,2774
29,-18008,2840
30,-18060,2900
31,-18076,2874
32,-18100,2942
33,-18128,2982
34,-18160,3108
35,-18172,3150
36,-18188,3230
37,-18208,3204
38,-18220,3210
39,-18228,3174
40,-18236,3198
41,-18260,3300
42,-18284,3262
43,-18288,3354
44,-18316,3388
45,-18324,3416
46,-18340,3456
47,-18348,3476
48,-18380,3442
49,-18404,3466
50,-18428,3488
51,-18428,3512
52,-18444,3628
53,-18464,3630
54,-18468,3690
55,-18484,3700
56,-18484,3750
57,-18496,3790
58,-18516,3822
59,-18528,3838
60,-18540,3862
61,-18548,3852
62,-18552,3886
63,-18556,3890
64,-18572,3990
65,-18584,4022
66,-18588,4008
67,-18588,4026
68,-18592,4014
69,-18604,4006
70,-18604,4024
71,-18624,4020
72,-18624,4016
73,-18624,4030
74,-18620,4116
75,-18632,4122
76,-18644,4174
77,-18648,4248
78,-18672,4288
79,-18684,4390
80,-18696,4510
81,-18704,4478
82,-18716,4576
83,-18728,4610
84,-18752,4658
85,-18756,4678
86,-18764,4708
87,-18776,4756
88,-18784,4808
89,-18788,4816
90,-18800,4852
91,-18820,4836
92,-18832,4888
93,-18848,4880
94,-18864,4868
95,-18872,4890
96,-18892,4910
97,-18896,4898
98,-18896,4904
99,-18900,4944
100,-18912,4940
101,-18912,4960
102,-18920,5018
103,-18924,5064
104,-18932,5098
105,-18960,5136
106,-18964,5198
107,-18980,5306
108,-18984,5332
109,-19004,5412
110,-19012,5434
111,-19032,5478
112,-19056,5534
113,-19068,5558
114,-19096,5570
115,-19100,5612
116,-19104,5588
117,-19108,5650
118,-19108,5664
119,-19112,5628
120,-19116,5638
121,-19116,5664
122,-19116,5712
123,-19124,5730
124,-19124,5790
125,-19128,5766
126,-19132,5806
127,-19132,5878
128,-19136,5902
129,-19148,5964
130,-19148,5970
131,-19152,5976
132,-19152,5970
133,-19152,6022
134,-19152,6050
135,-19152,6074
136,-19152,6144
137,-19152,6170
138,-19156,6184
139,-19156,6178
140,-19156,6228
141,-19156,6262
142,-19160,6278
143,-19164,6318
144,-19172,6314
145,-19172,6348
146,-19180,6338
147,-19184,6320
148,-19184,6334
149,-19184,6360
150,-19192,6360
151,-19196,6394
152,-19196,6460
153,-19196,6502
154,-19196,6530
155,-19192,6576
156,-19196,6576
157,-19196,6640
158,-19196,6632
159,-19196,6618
160,-19196,6666
161,-19196,6650
162,-19208,6696
163,-19208,6726
164,-19212,6726
165,-19216,6712
166,-19220,6776
167,-19220,6804
168,-19220,6834
169,-19220,6838
170,-19228,6820
171,-19228,6838
172,-19232,6846
173,-19244,6868
174,-19248,6858
175,-19248,6910
176,-19256,6948
177,-19260,6946
178,-19264,7016
179,-19272,7066
180,-19272,7132
181,-19280,7150
182,-19284,7190
183,-19284,7164
184,-19280,7216
185,-19280,7266
186,-19284,7274
187,-19288,7252
188,-19296,7284
189,-19304,7324
190,-19304,7326
191,-19308,7330
192,-19312,7338
193,-19316,7398
194,-19320,7380
195,-19320,7404
196,-19324,7438
197,-19328,7448
198,-19336,7450
199,-19340,7474
200,-19344,7498
201,-19344,7500
202,-19344,7528
203,-19360,7552
204,-19360,7516
205,-19364,7502
206,-19368,7498
207,-19376,7536
208,-19380,7578
209,-19380,7550
210,-19380,7562
211,-19388,7572
212,-19396,7598
213,-19400,7632
214,-19404,7632
