Step,Energy,Magnetisation
364,-16208,-116
365,-16132,-10
366,-16152,-12
367,-16236,52
368,-16172,40
369,-16240,-22
370,-16044,-78
371,-16012,12
372,-16092,-94
373,-16168,-140
374,-16360,-178
375,-16308,-212
376,-16248,-152
377,-16388,-232
378,-16044,-226
379,-16168,-182
380,-16264,-236
381,-16196,-92
382,-16196,-70
383,-16340,-12
384,-16380,50
385,-16268,128
386,-16320,190
387,-16264,180
388,-16132,92
389,-16080,174
390,-16016,268
391,-16156,290
392,-16260,226
393,-16112,266
394,-16316,230
395,-16220,222
396,-16236,262
397,-16272,316
398,-16188,252
399,-16268,100
400,-16152,76
401,-16408,40
402,-16448,50
403,-16436,190
404,-16676,202
405,-16592,266
406,-16736,406
407,-16648,350
408,-16460,450
409,-16412,520
410,-16368,500
411,-16224,450
412,-16152,452
413,-16224,546
414,-16372,576
415,-16336,670
416,-16380,782
417,-16416,792
418,-16308,722
419,-16336,844
420,-16344,854
421,-16208,810
422,-16260,818
423,-16236,732
424,-16180,750
425,-16088,740
426,-16320,722
427,-16428,830
428,-16412,936
429,-16312,924
430,-16492,946
431,-16292,986
432,-16360,936
433,-16252,864
434,-16208,760
435,-16284,740
436,-16212,876
437,-16372,978
438,-16116,840
439,-16264,808
440,-16316,844
441,-16376,776
442,-16544,746
443,-16528,722
444,-16552,734
445,-16572,774
446,-16464,726
447,-16284,690
448,-16276,708
449,-16040,760
450,-16152,700
451,-16032,720
452,-16108,774
453,-16124,808
454,-16032,854
455,-16332,862
456,-16028,856
457,-16124,838
458,-16484,796
459,-16500,814
460,-16816,776
461,-16868,834
462,-16760,926
463,-16736,748
464,-16444,792
465,-16280,752
466,-16288,908
467,-16604,948
468,-16824,1012
469,-16720,978
470,-16368,1000
471,-16580,1068
472,-16760,1070
473,-16696,1038
474,-16624,1024
475,-16556,1046
476,-16416,1122
477,-16276,1198
478,-16476,1210
479,-16316,1160
480,-16308,1062
481,-16324,958
482,-16352,916
483,-16296,986
484,-16380,920
485,-16428,1038
486,-16348,1042
487,-16268,1018
488,-16388,1088
489,-16264,1016
490,-16268,1056
491,-16296,1072
492,-16460,1040
493,-16628,1084
494,-16612,1056
495,-16616,1068
496,-16500,1042
497,-16448,1068
498,-16304,1172
499,-16304,1192
500,-16332,1222
501,-16576,1186
502,-16512,1260
503,-16652,1304
504,-16656,1356
505,-16668,1390
506,-16348,1300
507,-16292,1192
508,-16316,1206
509,-16408,1160
510,-16488,1192
511,-16508,1190
512,-16560,1238
513,-16520,1236
514,-16440,1198
515,-16388,1220
516,-16488,1250
517,-16536,1272
518,-16448,1310
