Step,Energy,Magnetisation
0,-14472,-52
1,-20072,-292
2,-22868,-358
3,-24648,-362
4,-25932,-384
5,-27016,-314
6,-27936,-76
7,-28260,-408
8,-28684,-114
9,-29040,-46
10,-29320,128
11,-30132,-26
12,-30480,-26
13,-30884,8
14,-31100,-34
15,-31224,86
16,-31388,194
17,-31708,148
18,-32204,394
19,-31952,444
20,-32228,356
21,-32104,308
22,-32320,326
23,-32724,284
24,-32916,538
25,-32832,560
26,-32300,424
27,-32312,616
28,-32568,482
29,-32840,370
30,-32440,424
31,-32700,794
32,-33068,584
33,-33272,636
34,-33192,738
35,-33080,744
36,-33364,654
37,-33508,754
38,-33800,734
39,-33688,574
40,-33708,664
41,-33872,442
42,-33548,572
43,-33996,496
44,-33932,552
45,-33928,524
46,-34432,674
47,-34040,740
48,-34072,618
49,-34352,842
50,-34416,624
51,-34336,740
52,-34324,592
53,-34428,670
54,-34100,710
55,-34272,576
56,-34480,510
57,-34632,394
58,-34512,410
59,-34724,596
60,-34460,756
61,-34652,782
62,-34788,806
63,-34544,870
64,-34488,876
65,-34656,880
66,-34212,736
67,-34656,934
68,-34832,1016
69,-34904,816
70,-35124,872
71,-34896,742
72,-34728,838
73,-34892,854
74,-34936,752
75,-34848,772
76,-35060,846
77,-35380,880
78,-35372,994
79,-35236,876
80,-34932,872
81,-35148,856
82,-35004,990
83,-35188,1030
84,-35204,862
85,-35592,792
86,-35340,642
87,-35668,866
88,-35720,928
89,-35816,1140
90,-35684,1014
91,-35584,1100
92,-35296,1144
93,-35228,1076
94,-35296,1000
95,-35328,932
96,-35216,866
97,-34976,724
98,-34892,672
99,-35120,716
100,-35008,814
101,-35120,800
102,-35432,510
103,-35256,600
104,-35248,596
105,-35580,822
106,-35316,846
107,-35520,896
108,-35540,1016
109,-35480,1146
110,-35120,908
111,-35264,1064
112,-35400,1068
113,-35496,1060
114,-35612,1144
115,-35404,1012
116,-35180,998
117,-35508,974
118,-35188,976
119,-35076,1086
120,-35128,1180
121,-35216,1084
122,-35660,1112
123,-35628,1130
124,-35652,1050
125,-35404,1026
126,-35284,1178
127,-35140,1326
128,-35236,1240
129,-35368,1096
130,-35316,1216
131,-35316,1142
132,-35544,1254
133,-35424,1288
134,-35512,1356
135,-35696,1458
136,-35548,1552
137,-35420,1522
138,-35452,1424
139,-35188,1532
140,-35384,1364
141,-35656,1354
142,-35444,1392
143,-35392,1396
144,-35036,1498
145,-35624,1404
146,-35704,1602
147,-35836,1714
148,-35536,1664
149,-35804,1678
150,-35744,1768
151,-35632,1672
152,-35660,1730
153,-35736,1702
154,-35708,1684
155,-36020,1806
156,-35912,1790
157,-35824,1822
158,-35836,1830
159,-35656,1884
160,-35668,1936
161,-35696,2088
162,-35832,2216
163,-35808,2254
164,-35840,2088
165,-35932,2050
166,-36004,1874
167,-36036,1924
168,-35976,2138
169,-35884,2264
170,-36148,2458
171,-36076,2308
172,-36060,2122
173,-36008,2170
174,-36212,2228
175,-36168,2196
176,-36204,2132
177,-36024,2180
178,-36048,2270
179,-35828,2364
180,-35968,2524
181,-36080,2502
182,-36172,2474
183,-36412,2292
184,-35992,2294
185,-35948,2316
186,-35924,2118
187,-36020,2226
188,-35992,2064
189,-36032,2112
190,-36456,2412
191,-36288,2476
192,-36288,2374
193,-36280,2410
194,-36468,2374
195,-35796,2310
196,-35788,2202
197,-35892,2324
198,-35720,2270
199,-35688,2142
200,-35492,1986
201,-35880,2120
202,-36144,2288
203,-36028,2334
204,-36196,2416
205,-36228,2526
206,-35956,2564
207,-36120,2608
208,-35972,2618
209,-35800,2724
210,-35892,2748
211,-35668,2708
212,-35896,2812
213,-36036,2566
214,-35872,2558
215,-36204,2502
216,-36444,2420
217,-36660,2284
218,-36788,2438
219,-36568,2466
220,-36268,2596
221,-36448,2460
222,-36576,2650
223,-36580,2374
224,-36584,2150
225,-36536,2110
226,-36704,2132
227,-36664,2014
228,-36736,1992
229,-36688,2040
230,-36720,1890
231,-36940,1918
