Step,Energy,Magnetisation
0,-7940,-84
1,-11052,-186
2,-12840,-272
3,-13944,-290
4,-14676,-204
5,-15280,-238
6,-15636,-292
7,-15872,-256
8,-16152,-238
9,-16304,-218
10,-16496,-128
11,-16692,-128
12,-16832,-78
13,-16916,-36
14,-17040,40
15,-17148,92
16,-17272,136
17,-17372,202
18,-17484,246
19,-17548,296
20,-17624,378
21,-17652,356
22,-17720,468
23,-17764,558
24,-17816,654
25,-17832,716
26,-17852,754
27,-17900,782
28,-17936,814
29,-17972,882
30,-17988,846
31,-18000,852
32,-18028,928
33,-18068,992
34,-18068,980
35,-18096,950
36,-18108,924
37,-18116,990
38,-18140,1022
39,-18164,1004
40,-18188,932
41,-18196,968
42,-18216,958
43,-18232,918
44,-18248,936
45,-18268,958
46,-18256,984
47,-18272,1082
48,-18304,1104
49,-18320,1102
50,-18336,1154
51,-18332,1252
52,-18340,1322
53,-18356,1390
54,-18380,1440
55,-18376,1450
56,-18396,1502
57,-18408,1582
58,-18436,1590
59,-18444,1560
60,-18440,1592
61,-18472,1592
62,-18504,1632
63,-18512,1658
64,-18520,1710
65,-18548,1774
66,-18572,1846
67,-18572,1888
68,-18576,1950
69,-18596,1988
70,-18600,1982
71,-18612,1992
72,-18624,2016
73,-18632,2048
74,-18644,2082
75,-18660,2088
76,-18668,2066
77,-18688,2152
78,-18700,2184
79,-18708,2174
80,-18728,2160
81,-18748,2144
82,-18752,2170
83,-18752,2144
84,-18772,2120
85,-18780,2108
86,-18780,2160
87,-18768,2184
88,-18784,2200
89,-18784,2212
90,-18804,2250
91,-18804,2294
92,-18820,2310
93,-18820,2292
94,-18820,2310
95,-18832,2342
96,-18828,2332
97,-18836,2288
98,-18844,2320
99,-18852,2306
100,-18872,2298
101,-18876,2362
102,-18872,2372
103,-18880,2396
104,-18868,2404
105,-18876,2420
106,-18876,2454
107,-18884,2442
108,-18900,2482
109,-18904,2438
110,-18904,2508
111,-18924,2516
112,-18916,2534
113,-18928,2508
114,-18936,2498
115,-18940,2470
116,-18944,2470
117,-18956,2510
118,-18956,2548
119,-18960,2578
120,-18968,2554
121,-18972,2544
122,-18988,2578
123,-18992,2590
124,-18988,2576
125,-18992,2588
126,-18988,2618
127,-18992,2620
128,-18996,2704
129,-19000,2702
130,-19000,2712
131,-19008,2702
132,-19016,2736
133,-19016,2744
134,-19008,2766
135,-19012,2764
136,-19008,2752
137,-19016,2740
138,-19020,2740
139,-19012,2818
140,-19020,2862
141,-19032,2906
142,-19040,2924
143,-19036,2930
144,-19040,2928
145,-19048,2902
146,-19052,2946
147,-19048,2948
148,-19060,2972
149,-19064,3006
150,-19080,3038
151,-19088,3062
152,-19080,3090
153,-19084,3084
154,-19088,3110
155,-19076,3126
156,-19096,3104
157,-19088,3108
158,-19100,3110
159,-19096,3170
160,-19104,3182
161,-19104,3218
162,-19108,3188
163,-19116,3202
164,-19116,3186
165,-19108,3198
166,-19120,3210
167,-19132,3206
168,-19140,3250
169,-19140,3264
170,-19144,3276
171,-19144,3304
172,-19140,3372
173,-19140,3366
174,-19140,3378
175,-19152,3420
176,-19156,3394
177,-19156,3420
178,-19160,3446
179,-19152,3474
180,-19172,3528
181,-19176,3562
182,-19180,3570
183,-19180,3612
184,-19196,3662
185,-19200,3682
186,-19204,3708
187,-19216,3716
188,-19216,3732
189,-19216,3704
190,-19232,3724
191,-19228,3760
192,-19224,3770
193,-19228,3814
194,-19228,3836
195,-19228,3864
196,-19224,3880
197,-19228,3880
198,-19224,3822
199,-19224,3876
200,-19232,3920
201,-19236,3914
202,-19228,3948
203,-19236,3990
204,-19240,3980
205,-19244,3970
206,-19248,3954
207,-19240,3986
208,-19256,4036
209,-19260,4074
210,-19264,4100
211,-19272,4102
212,-19280,4092
213,-19272,4104
214,-19272,4108
215,-19276,4146
216,-19280,4168
217,-19280,4218
218,-19280,4258
219,-19276,4264
220,-19272,4292
221,-19280,4302
222,-19280,4316
223,-19280,4360
224,-19280,4398
225,-19288,4410
226,-19296,4444
227,-19292,4472
228,-19292,4484
229,-19296,4502
230,-19300,4546
231,-19292,4548
232,-19300,4590
233,-19312,4630
234,-19304,4634
235,-19304,4636
236,-19296,4656
237,-19320,4658
238,-19320,4750
239,-19320,4766
240,-19324,4750
241,-19320,4736
242,-19320,4730
243,-19324,4728
244,-19324,4756
245,-19328,4808
246,-19320,4808
247,-19320,4842
248,-19332,4896
249,-19332,4908
250,-19328,4934
251,-19332,4920
252,-19336,4928
253,-19340,4970
254,-19344,4994
255,-19344,5022
256,-19340,5014
257,-19348,5024
258,-19340,5022
259,-19348,5040
260,-19344,5062
261,-19348,5070
262,-19344,5012
263,-19344,5008
264,-19352,5028
265,-19360,5062
266,-19360,5054
267,-19368,5074
268,-19368,5052
269,-19372,5098
270,-19364,5112
271,-19368,5110
272,-19376,5116
273,-19372,5140
274,-19372,5108
275,-19380,5124
276,-19384,5148
277,-19388,5142
278,-19384,5158
279,-19376,5178
280,-19384,5274
281,-19388,5286
282,-19384,5312
283,-19380,5296
284,-19384,5332
285,-19392,5374
286,-19392,5396
287,-19404,5452
288,-19392,5460
289,-19400,5478
290,-19416,5512
291,-19416,5506
292,-19420,5534
293,-19420,5556
294,-19428,5614
295,-19424,5616
296,-19432,5622
297,-19432,5594
298,-19428,5614
299,-19432,5630
300,-19436,5652
301,-19436,5684
302,-19440,5732
303,-19444,5752
304,-19432,5792
305,-19428,5830
306,-19444,5870
307,-19456,5886
308,-19464,5904
309,-19456,5928
310,-19456,5938
311,-19460,5986
312,-19460,5986
313,-19472,5960
314,-19472,5976
315,-19480,6020
316,-19484,6032
317,-19488,6046
318,-19480,6040
319,-19500,6092
320,-19500,6060
321,-19496,6054
322,-19500,6052
323,-19500,6074
324,-19504,6056
325,-19500,6082
326,-19500,6074
327,-19500,6084
328,-19512,6128
329,-19512,6128
330,-19512,6134
331,-19512,6160
332,-19516,6188
333,-19520,6196
334,-19524,6220
335,-19520,6206
336,-19528,6240
337,-19528,6234
338,-19524,6280
339,-19528,6306
340,-19528,6340
341,-19536,6350
342,-19536,6370
343,-19532,6360
344,-19540,6370
345,-19560,6376
346,-19564,6400
347,-19564,6428
348,-19572,6442
349,-19584,6444
350,-19588,6462
351,-19600,6486
352,-19600,6496
353,-19604,6490
354,-19604,6494
355,-19604,6512
356,-19604,6506
357,-19604,6532
358,-19608,6558
359,-19608,6580
360,-19608,6582
361,-19608,6572
362,-19608,6546
363,-19608,6582
364,-19608,6596
365,-19604,6604
366,-19604,6592
367,-19608,6594
368,-19604,6616
369,-19604,6632
370,-19608,6626
371,-19608,6628
372,-19612,6656
373,-19612,6684
374,-19612,6670
375,-19604,6652
376,-19600,6664
377,-19600,6704
378,-19612,6726
379,-19604,6736
380,-19612,6736
381,-19612,6734
382,-19612,6732
383,-19612,6744
384,-19612,6738
385,-19612,6718
386,-19612,6700
387,-19612,6722
388,-19612,6720
389,-19608,6742
390,-19608,6710
391,-19608,6722
392,-19608,6740
393,-19612,6774
394,-19608,6780
395,-19604,6758
396,-19612,6754
397,-19612,6748
398,-19608,6750
399,-19608,6758
400,-19616,6798
401,-19616,6782
402,-19612,6806
403,-19612,6798
404,-19612,6786
405,-19620,6804
406,-19620,6826
407,-19620,6830
408,-19620,6838
409,-19620,6844
410,-19624,6832
411,-19624,6846
412,-19624,6830
413,-19620,6838
414,-19620,6824
415,-19612,6838
416,-19620,6852
417,-19620,6832
418,-19620,6876
419,-19616,6884
420,-19624,6878
421,-19616,6892
422,-19636,6910
423,-19624,6894
424,-19636,6888
425,-19632,6904
426,-19636,6954
427,-19636,6974
428,-19632,6956
429,-19636,6952
430,-19632,6950
431,-19636,6932
432,-19640,6942
433,-19640,6958
434,-19640,6974
435,-19640,6958
436,-19644,6942
437,-19644,6942
438,-19644,6944
439,-19644,6974
440,-19640,6976
441,-19640,6988
442,-19640,7014
443,-19640,7022
444,-19640,7032
445,-19640,7028
446,-19644,7054
447,-19644,7058
448,-19644,7060
449,-19640,7040
450,-19640,7062
451,-19640,7050
452,-19644,7056
453,-19644,7042
454,-19644,7052
455,-19648,7074
456,-19648,7084
457,-19648,7076
458,-19644,7076
459,-19648,7050
460,-19652,7068
461,-19652,7100
462,-19652,7108
463,-19648,7106
464,-19648,7124
465,-19652,7136
466,-19660,7154
467,-19660,7164
468,-19660,7168
469,-19660,7168
470,-19656,7190
471,-19648,7202
472,-19656,7230
473,-19656,7252
474,-19660,7264
475,-19664,7274
476,-19668,7264
477,-19664,7270
478,-19656,7276
479,-19664,7278
480,-19664,7292
481,-19664,7308
482,-19664,7326
